date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:07	75082/75082	---M--	200	added ('OK')	image/jpg	etag:%22515543e6729153ea7a44f7ed3ddaa194%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-2880w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-2880w.jpg	(from https://www.vapropertygroup.com.au/e44)
00:08:08	87739/87739	---M--	200	added ('OK')	image/jpg	etag:%22b54a0ede4546ae3a1447935b39aba2a2%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+Before-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+Before-1920w.jpg	(from https://www.vapropertygroup.com.au/e44)
00:08:09	103337/103337	---M--	200	added ('OK')	image/jpeg	etag:%221f4f354b333146a8667dd0ea60a47123%22	https://irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Richcreek+Hero.jpg	T:/VA%20PROPERTY/new/irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Richcreek+Hero.jpg	(from https://www.vapropertygroup.com.au/richcreek)
00:08:10	96474/96474	---M--	200	added ('OK')	image/jpg	etag:%22aaa7962d832271d792ee73fabc9e2758%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Richcreek+Hero-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Richcreek+Hero-1920w.jpg	(from https://www.vapropertygroup.com.au/richcreek)
00:08:11	96474/96474	---M--	200	added ('OK')	image/jpg	etag:%22aaa7962d832271d792ee73fabc9e2758%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Richcreek+Hero-2880w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Richcreek+Hero-2880w.jpg	(from https://www.vapropertygroup.com.au/richcreek)
00:08:12	60124/60124	---M--	200	added ('OK')	image/jpg	etag:%22c1d86760b67d8778c888e4e58a7c7e84%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+Before-f22e0b9b-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+Before-f22e0b9b-1920w.jpg	(from https://www.vapropertygroup.com.au/richcreek)
00:08:13	274565/274565	---M--	200	added ('OK')	image/jpeg	etag:%225d8fcc8434833f6f9201b0517f59f73e%22	https://irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Kitchen+After-944948ba.jpg	T:/VA%20PROPERTY/new/irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Kitchen+After-944948ba.jpg	(from https://www.vapropertygroup.com.au/prado)
00:08:14	257360/257360	---M--	200	added ('OK')	image/jpg	etag:%226550fd3ebb06174f9c21d587ccbde8cc%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-944948ba-2880w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-944948ba-2880w.jpg	(from https://www.vapropertygroup.com.au/prado)
00:08:15	705555/705555	---M--	200	added ('OK')	image/jpg	etag:%221e93e0e06e6548ff998d3aa4904d9a33%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Front+Before-1920w.JPG	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Front+Before-1920w.JPG	(from https://www.vapropertygroup.com.au/prado)
00:08:16	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2015%20Apr%202020%2018:08:18%20GMT	https://irp-cdn.multiscreensite.com/editor/nee/images/common/2ColumnsArrows.png	T:/VA%20PROPERTY/new/irp-cdn.multiscreensite.com/editor/nee/images/common/2ColumnsArrows.png	(from https://irp-cdn.multiscreensite.com/WIDGET_CSS/production_1223/183f10e9a6d5b3d5becf52cd414baf54.css)
